Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
F1,06/08/2021,20:00,Monaco,Nantes,1,1,D,1,1,D,15,5,3,1,6,14,5,2,0,0,0,0
F1,07/08/2021,16:00,Lyon,Brest,1,1,D,0,1,A,17,13,4,8,10,12,9,4,1,1,0,0
F1,07/08/2021,20:00,Troyes,Paris SG,1,2,A,1,2,A,15,12,7,3,3,15,9,1,1,4,0,0
F1,08/08/2021,12:00,Rennes,Lens,1,1,D,1,1,D,10,11,2,6,10,14,3,9,0,2,0,0
F1,08/08/2021,14:00,Bordeaux,Clermont,0,2,A,0,0,D,10,19,6,10,13,9,5,10,1,0,0,0
F1,08/08/2021,14:00,Nice,Reims,0,0,D,0,0,D,12,5,2,0,10,8,4,2,1,1,0,0
F1,08/08/2021,14:00,St Etienne,Lorient,1,1,D,0,0,D,20,12,3,3,10,14,8,4,2,3,0,0
F1,08/08/2021,14:00,Strasbourg,Angers,0,2,A,0,0,D,7,9,1,2,18,18,5,4,2,3,0,0
F1,08/08/2021,16:00,Metz,Lille,3,3,D,2,1,H,12,18,5,7,9,10,4,5,1,2,1,0
F1,08/08/2021,19:45,Montpellier,Marseille,2,3,A,2,0,H,8,21,1,7,10,5,6,11,0,1,0,0
F1,13/08/2021,20:00,Lorient,Monaco,1,0,H,1,0,H,2,12,2,3,17,15,0,6,3,2,0,0
F1,14/08/2021,16:00,Lille,Nice,0,4,A,0,3,A,11,11,2,7,9,13,8,7,3,1,0,0
F1,14/08/2021,20:00,Paris SG,Strasbourg,4,2,H,3,0,H,11,8,6,2,6,18,4,4,1,4,0,1
F1,15/08/2021,12:00,Angers,Lyon,3,0,H,1,0,H,13,8,6,3,11,17,6,4,1,5,0,1
F1,15/08/2021,14:00,Brest,Rennes,1,1,D,0,0,D,10,6,5,2,7,16,6,11,2,3,0,0
